time	FADEC_LA_Corrected_N2_Speed
09:12:04:279	0.0
09:12:04:341	0.0
09:12:04:404	0.0
09:12:04:466	0.0
09:12:04:529	0.0
09:12:04:591	0.0
09:12:04:654	0.0
09:12:04:716	0.0
09:12:04:779	0.0
09:12:04:841	0.0
09:12:04:904	0.0
09:12:04:966	0.0
09:12:05:029	0.0
09:12:05:091	0.0
09:12:05:154	0.0
09:12:05:216	0.0
09:12:05:279	0.0
09:12:05:341	0.0
09:12:05:404	0.0
09:12:05:466	0.0
09:12:05:529	0.0
09:12:05:591	0.0
09:12:05:654	0.0
09:12:05:716	0.0
09:12:05:779	0.0
09:12:05:841	0.0
09:12:05:904	0.0
09:12:05:966	0.0
09:12:06:029	0.0
09:12:06:091	0.0
09:12:06:154	0.0
09:12:06:216	0.0
09:12:06:279	0.0
09:12:06:341	0.0
09:12:06:404	0.0
09:12:06:466	0.0
09:12:06:529	0.0
09:12:06:591	0.0
09:12:06:654	0.0
09:12:06:716	0.0
09:12:06:779	0.0
09:12:06:841	0.0
09:12:06:904	0.0
09:12:06:966	0.0
09:12:07:029	0.0
09:12:07:091	0.0
09:12:07:154	0.0
09:12:07:216	0.0
09:12:07:279	0.0
09:12:07:341	0.0
09:12:07:404	0.0
09:12:07:466	0.0
09:12:07:529	0.0
09:12:07:591	0.0
09:12:07:654	0.0
09:12:07:716	0.0
09:12:07:779	0.0
09:12:07:841	0.0
09:12:07:904	0.0
09:12:07:966	0.0
09:12:08:029	0.0
09:12:08:091	0.0
09:12:08:154	0.0
09:12:08:216	0.0
09:12:08:279	0.0
09:12:08:341	0.0
09:12:08:404	0.0
09:12:08:466	0.0
09:12:08:529	0.0
09:12:08:591	0.0
09:12:08:654	0.0
09:12:08:716	0.0
09:12:08:779	0.0
09:12:08:841	0.0
09:12:08:904	0.0
09:12:08:966	0.0
09:12:09:029	0.0
09:12:09:091	0.0
09:12:09:154	0.0
09:12:09:216	0.0
09:12:09:279	0.0
09:12:09:341	0.0
09:12:09:404	0.0
09:12:09:466	0.0
09:12:09:529	0.0
09:12:09:591	0.0
09:12:09:654	0.0
09:12:09:716	0.0
09:12:09:779	0.0
09:12:09:841	0.0
09:12:09:904	0.0
09:12:09:966	0.0
09:12:10:029	0.0
09:12:10:091	0.0
09:12:10:154	0.0
09:12:10:216	0.0
09:12:10:279	0.0
09:12:10:341	0.0
09:12:10:404	0.0
09:12:10:466	0.0
09:12:10:529	0.0
09:12:10:591	0.0
09:12:10:654	0.0
09:12:10:716	0.0
09:12:10:779	0.0
09:12:10:841	0.0
09:12:10:904	0.0
09:12:10:966	0.0
09:12:11:029	0.0
09:12:11:091	0.0
09:12:11:154	0.0
09:12:11:216	0.0
09:12:11:279	0.0
09:12:11:341	0.0
09:12:11:404	0.0
09:12:11:466	0.0
09:12:11:529	0.0
09:12:11:591	0.0
09:12:11:654	0.0
09:12:11:716	0.0
09:12:11:779	0.0
09:12:11:841	0.0
09:12:11:904	0.0
09:12:11:966	0.0
09:12:12:029	0.0
09:12:12:091	0.0
09:12:12:154	0.0
09:12:12:216	0.0
09:12:12:279	0.0
09:12:12:341	0.0
09:12:12:404	0.0
09:12:12:466	0.0
09:12:12:529	0.0
09:12:12:591	0.0
09:12:12:654	0.0
09:12:12:716	0.0
09:12:12:779	0.0
09:12:12:841	0.0
09:12:12:904	0.0
09:12:12:966	0.0
09:12:13:029	0.0
09:12:13:091	0.0
09:12:13:154	0.0
09:12:13:216	0.0
09:12:13:279	0.0
09:12:13:341	0.0
09:12:13:404	0.0
09:12:13:466	0.0
